"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"2610507B11Rik",7.23485032727868e-66,0.445703785340379,0.253,0.104,2.33577142816192e-61
"Atp5c1",9.16500615522648e-66,0.420854488200305,0.26,0.109,2.95892223721487e-61
"Btbd9",1.24327977918553e-65,-0.852724360302396,0.321,0.426,4.01392876710048e-61
"Ift81",1.38502681115328e-65,0.49433251139426,0.131,0.032,4.47155905980836e-61
"Lacc1",1.84447120042413e-65,-1.00676389307255,0.046,0.153,5.95487527056931e-61
"Kantr",1.98519484696824e-65,0.464650008400022,0.169,0.053,6.40920156343695e-61
"Afdn",2.26393100845108e-65,0.471339550678455,0.212,0.079,7.30910126078431e-61
"Rabep1",2.56604264384934e-65,0.358895652992246,0.459,0.242,8.28446867566758e-61
"Agpat3",2.7303516365826e-65,0.471419577477443,0.198,0.07,8.81494025870692e-61
"Tcf7l2",3.60703631692068e-65,0.313588932527304,0.448,0.23,1.16453167491784e-60
"Inppl1",4.34741672156616e-65,0.455987739858115,0.139,0.036,1.40356348855764e-60
"Gdi2",4.50580222685429e-65,-1.01208668367431,0.194,0.32,1.45469824893991e-60
"Rnf24",5.11369042402823e-65,0.405706031757173,0.129,0.03,1.65095495339751e-60
"Dtx4",5.34019874397968e-65,-0.920492412124308,0.034,0.134,1.72408316449384e-60
"Nr6a1os",5.4614723966704e-65,-1.05870068375145,0.064,0.178,1.76323636326504e-60
"Tnfrsf21",6.13162644812396e-65,-0.939927477091288,0.03,0.129,1.97959559877682e-60
"Cluh",6.38123411081986e-65,0.530235318158333,0.128,0.03,2.06018143267819e-60
