"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Cyp51",7.44085271452061e-100,2.21000327996728,0.138,0.019,2.40227929888298e-95
"Fat1",8.12683418155055e-100,2.35035604792794,0.144,0.021,2.6237484155136e-95
"Gm3739",8.13924253420154e-100,-5.31977489240405,0.007,0.119,2.62775445216697e-95
"Pacsin2",8.21012338827841e-100,-2.99668503633855,0.047,0.191,2.65063833590568e-95
"Sncaip",1.01484191303133e-99,-3.33091545561413,0.028,0.162,3.27641711622166e-95
"Oaf",1.47384008299241e-99,3.33009975406999,0.107,0.006,4.75829270794101e-95
"Ube2b",1.51996607659262e-99,0.688677429718801,0.455,0.213,4.90721047827928e-95
"Ift57",2.63773664445024e-99,1.83961743310017,0.16,0.029,8.51593275660758e-95
"Tmod2",6.35741784238696e-99,0.613576823102133,0.356,0.138,2.05249235041463e-94
"Ssbp2",6.40848788283846e-99,0.530126578927048,0.574,0.296,2.0689803129744e-94
"Tle4",8.06817567042188e-99,0.710386706978815,0.464,0.222,2.6048105151957e-94
"Spaca6",9.39478675144006e-99,1.56857618958492,0.179,0.039,3.03310690270242e-94
"Tmem119",1.05376989788129e-98,-4.91710461212623,0.009,0.122,3.40209611530975e-94
"Cox10",1.32845532716102e-98,1.2863274748597,0.204,0.052,4.28891802373936e-94
"Sh3glb2",1.6120209381469e-98,1.40631190152051,0.189,0.044,5.20440959880727e-94
"Lyzl4",1.65961612412765e-98,-3.87641919486725,0.015,0.136,5.3580706567461e-94
"Plekha7",2.44955402586139e-98,1.77786423058425,0.151,0.025,7.90838517249349e-94
"Rubcnl",2.53755869396387e-98,-4.45082123318782,0.009,0.124,8.19250824346237e-94
"Dock11",3.37650112729851e-98,-1.92705308159053,0.189,0.353,1.09010338894832e-93
"Sept5",3.39644657571909e-98,1.94054037178906,0.154,0.027,1.09654277697091e-93
"Dtx1",1.27400012161788e-97,3.90439943452409,0.101,0.004,4.11310939264333e-93
"Pamr1",1.30288624759886e-97,2.59261215557885,0.123,0.013,4.20636825037292e-93
"Abcd3",1.76146061370551e-97,0.849963170264726,0.268,0.089,5.68687559134823e-93
"Tom1l2",1.85984827174734e-97,0.85840167334482,0.333,0.131,6.0045201453363e-93
"Kdm5b",1.98180418872911e-97,1.02662566508665,0.275,0.094,6.39825482331192e-93
"Large1",2.29347204178258e-97,-1.21142923868064,0.509,0.587,7.40447448689505e-93
"Slc9a3r1",2.38824564112473e-97,2.79449230241077,0.114,0.009,7.71045105237119e-93
"A330076H08Rik",2.64520147677554e-97,1.28196072754558,0.226,0.066,8.54003296776984e-93
"Pald1",3.08524763175568e-97,-3.59580115257318,0.022,0.147,9.96072197912322e-93
"Megf9",3.62899681188176e-97,1.38033541821825,0.228,0.068,1.17162162071603e-92
"Rnase4",4.29416635864033e-97,-4.76697203889377,0.008,0.119,1.38637160888703e-92
"Rgs7bp",5.70661234956518e-97,0.720989938148579,0.359,0.145,1.84237979705712e-92
"P2rx7",6.08435362602374e-97,-2.9035055391139,0.05,0.193,1.96433356816177e-92
"Zfp438",7.59798249969239e-97,1.10124135284736,0.236,0.071,2.45300865002569e-92
"Rtn4rl1",9.29491205368366e-97,-3.17228391228799,0.028,0.159,3.00086235653177e-92
"Aldh2",1.32120185858569e-96,1.99856198701585,0.137,0.019,4.26550020044389e-92
"Cmtm5",1.49250335724738e-96,2.06824448643019,0.153,0.027,4.81854708887315e-92
"Gpr183",1.90360456560471e-96,-4.72632009954749,0.01,0.123,6.14578734005479e-92
"Rcbtb2",2.47882118937658e-96,-2.74077138181129,0.077,0.228,8.0028742099023e-92
"Ak4",3.31798600458654e-96,3.58801331959793,0.103,0.005,1.07121178158077e-91
